"WkIe8 src","fontHeadlineSmall","MW4etd","UY7F9","IIrLbb","IIrLbb 2","ZiUbcb","bYkqId","wNNZR","IM91Ib"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAERwNDyGalC_eQBIgzs4-x6c5yic-0LezBND9-0lXaTlTWyHMUn3EAbPWWr1riAW6x8o9F-a-2cK30sak1lawvCRtpbxpLHLRKEtivprsaBFh64r1v9oGmNQSR5sWWvSCwR0CaxyV8NuY8=w122-h92-k-no","Abri Soba","4,7","(1 416)","20–30 €","Restaurant de nouilles au sarrasin (soba)","·","","Note","Ajouter une note"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEIku0-KG_3GM_wKFjyd9R5ARbLw1VXZj1nRhQLgONyM542Spyg6AYiX-8IvMZ96NGnFbGtXOHl8nNhxL7-pzt8CYG1D4ajT2bf-lLrKltFC1hqIVKrTL_YvG75KLrMPcUe0SWw=w163-h92-k-no","Bistro Volnay","4,6","(659)","€€","Bistro","·","","Note","Ajouter une note"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEp8wTnJAgp9rOHzfpfd0RCTXU-sovNfOEYhZu9FDqc_S6hi9RVMKQ9ZLDNPDFC_CDIgTCYO9JC9_wvgXacvtkaWqN7DSdiTlxUXHg4Gf4pHCCu73jzYv-i3jAxYfCi9Afaje5p=w122-h92-k-no","Happatei","4,3","(2 524)","20–30 €","Japonaise","·","","Note","Ajouter une note"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFDyoDHMyOvfLGHxIdTUTsQpHvQ3bHCU4pVxIDPLry4Nh0p9yHWjQxUmqf_EecgEGFDtHmM5JIllB-Kv9FanFthQ0v_TrALcxRXE7eqqADGEkcS0dL2B7-iyYYIfKEuNe5sxY7W=w122-h92-k-no","Aki Café","4,5","(2 300)","10–20 €","Japonaise","·","","Note","Ajouter une note"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEqTNJav-eQKJQzpH-rDsio-KuQkfiGmxPJ04g5c9nPNbS5n0OnXJmkQFN-poU32QtCMzHlec42rAcnqL7L95p3Hm15xFy9EA-rQtX8bhAu8CmZ_aKijPxFRiy4a5mSlKdxPtFViA=w123-h92-k-no","La Coquille","4,4","(59)","10–20 €","Bar","·","","",""
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFKoJK9WIK4aTD8DvjtiGeySkSHSQ5roBoFNOtbkVBhkJQZ2U6kxwBK1XmzfmtvRjHwo3ii6sJiHTuua7sqbJPpX99enAdQC4hS-81NZuLAaqVf7ATo126ilx7w2VFVZCzut3QL=w122-h92-k-no","Duplex Bar","4,3","(316)","1–30 €","Bar gay","·","","Note","Ajouter une note"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGaCpffuQo14sOLlLtsCjFuhedCdBMDC0Fc6a7-nm_K8gqRpZl0irr2CoOHYZhGikTsP584QNAUH5mqX7ndaskYxkhashGKJrLvYwRY-c0gSjQsabwmgvjev9zgJJzJxviGxco=w138-h92-k-no","Maison Revka","4,2","(1 411)","+ de 100 €","Gastronomie française","·","","Note","Ajouter une note"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxfzLpmO0pPADUdOcLod8U17aOuDHXesjNv6TsuIckMmbIBEZ5_ZrjMBB9FeXxp1E90BFYn3-RMKfIeMWqMaaAg84h5zrS5P6FAzPV2GXcCcvnXT_yzcP8gPBNGfliXl3_Cyertw=w98-h92-k-no","Le Petit Cambodge","4,9","(2 422)","20–30 €","Cambodgienne","·","","Note","Ajouter une note"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEoabmYzigRUfLAJ2UvaCga_bdEoRvaDrxAMIJtb8YGMRu3kayMV8NLG5dFJgOufE2s9oLLeRd2AF_BvqN12GhJiirCBOMKD8sM3S6YQ1yhxzY8CCcb1Ovr31aA7kVQycDQ_mn5mynYDyM=w137-h92-k-no","Deegha Cuisine Indienne","4,9","(267)","10–20 €","Plats indiens à emporter","·","","Note","Ajouter une note"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7MVfFtaEQR7eSvVC84ZEmN25tZ9iBc4FL7eml5ta8HlJ0TgZnHDLit-qmSt7HkLHEJ5qG1MY9uQwrtiziTGHMFsbOF6I-vp03kLtuFA35BQ3FChaw6KVu4EdK72fefO8zJIZpew=w138-h92-k-no","DAROCO Trattoria - Bourse","4,3","(6 166)","30–70 €","Italienne","·","","Note","Ajouter une note"
