Titre,Note,URL,Tags,Commentaire
,,,,
Le Téléphone Rose,,https://www.google.com/maps/place/Le+T%C3%A9l%C3%A9phone+Rose/data=!4m2!3m1!1s0x478b8ffb70d55ea1:0xf9d844cede05b92,,
Le Robinet d'Or Restaurant & Bar Canal… Française,Restaurant avec Christophe js ben Stephan et sa copine vient ,https://www.google.com/maps/place/Le+Robinet+d'Or+Restaurant+%26+Bar+Canal%E2%80%A6+Fran%C3%A7aise/data=!4m2!3m1!1s0x47e66fcbfe5e6087:0x6d6642ec59ae97b4,,
L'Abysse Paris - Yannick Alléno,,https://www.google.com/maps/place/L'Abysse+Paris+-+Yannick+All%C3%A9no/data=!4m2!3m1!1s0x47e66f604bd5c9e7:0x699c3f21f70aefbc,,
The Office,A tester !!,https://www.google.com/maps/place/The+Office/data=!4m2!3m1!1s0x47e6723c609b65e9:0x3174434708a721df,,
215 Rue de Paris,Glace a tester ,https://www.google.com/maps/place/215+Rue+de+Paris/data=!4m2!3m1!1s0x47e66d7d8269433b:0xbe5c58ea23d91b6d,,
Chez Michel,Super resto : François et Christophe,https://www.google.com/maps/place/Chez+Michel/data=!4m2!3m1!1s0x47e66e6c77189a1d:0xbcbc15ed793643aa,,
Abri Soba,À Tester ,https://www.google.com/maps/place/Abri+Soba/data=!4m2!3m1!1s0x47e66e3fbe336b97:0x4cf8061a0b10d5ce,,
Bistro Volnay,A tester,https://www.google.com/maps/place/Bistro+Volnay/data=!4m2!3m1!1s0x47e66e31744aa52f:0x7baba03eef58d61d,,
Happatei,Resto Lisa Théo,https://www.google.com/maps/place/Happatei/data=!4m2!3m1!1s0x47e66f1b286f9503:0x667a3afbfa2f98a,,
Aki Café,Bon resto,https://www.google.com/maps/place/Aki+Caf%C3%A9/data=!4m2!3m1!1s0x47e66e3af9c30349:0x82cca6ff347548a0,,
La Coquille,,https://www.google.com/maps/place/La+Coquille/data=!4m2!3m1!1s0x47e66e2305a4bbaf:0xe4a1c32bd064be44,,
Kehribar,A tester insta,https://www.google.com/maps/place/Kehribar/data=!4m2!3m1!1s0x47e671c2ab0cb937:0x4057bbbdf470f5ea,,
Mian Fan,A tester,https://www.google.com/maps/place/Mian+Fan/data=!4m2!3m1!1s0x47e66e364e21c681:0xe1dd544608c6738a,,
Naï Naï - Bistrot chic asiatique,A tester,https://www.google.com/maps/place/Na%C3%AF+Na%C3%AF+-+Bistrot+chic+asiatique/data=!4m2!3m1!1s0x47e66fb1c1250bb1:0x5c98f2becec9c639,,
Duplex Bar,Var gay a tester,https://www.google.com/maps/place/Duplex+Bar/data=!4m2!3m1!1s0x47e66e1b392dca9b:0xbccbbb8d283b09cc,,
Vingt Vins d'Art,Reco xtof,https://www.google.com/maps/place/Vingt+Vins+d'Art/data=!4m2!3m1!1s0x47e671fd70f7a37d:0xe8062866e59ec4e6,,
Le Louchebem,,https://www.google.com/maps/place/Le+Louchebem/data=!4m2!3m1!1s0x47e66e220516d8a5:0xfa3c3a53027873f2,,
Chez Marius,Reco xtof,https://www.google.com/maps/place/Chez+Marius/data=!4m2!3m1!1s0x47e66e6d29455555:0x50726a8eb0d86bd1,,
Restaurant À la maison,Resto reco Xtof,https://www.google.com/maps/place/Restaurant+%C3%80+la+maison/data=!4m2!3m1!1s0x47ee4f7c3d5dd7c1:0xff100a1cd6df6a87,,
Pacifique,Resto chinois avevamos Bressuire,https://www.google.com/maps/place/Pacifique/data=!4m2!3m1!1s0x47e66de88164c211:0xd9d7d1321e5432ca,,
Restaurant Le Céladon,Restaurant Corée chicos ,https://www.google.com/maps/place/Restaurant+Le+C%C3%A9ladon/data=!4m2!3m1!1s0x47e66e3104bcf709:0x2837fea99bed03c8,,
Orson,,https://www.google.com/maps/place/Orson/data=!4m2!3m1!1s0x47e671007966a79b:0xfc6febb506dda10a,,
El Mictlan,à tester Mexicain,https://www.google.com/maps/place/El+Mictlan/data=!4m2!3m1!1s0x47e66f60c186ed17:0x68b86bdfa69c55ef,,
"L'Entente, Le British Brasserie",A tester ( pub shweps) dish and ships,"https://www.google.com/maps/place/L'Entente,+Le+British+Brasserie/data=!4m2!3m1!1s0x47e66e3a619c6dad:0x8bccbe44d0916826",,
On Restaurant,,https://www.google.com/maps/place/On+Restaurant/data=!4m2!3m1!1s0x47e66f82069a37a3:0xf0d69f0a5316a69a,,
Menekse,Restaurant kurde,https://www.google.com/maps/place/Menekse/data=!4m2!3m1!1s0x47e6738a846dca5d:0x57375d581119dfac,,
Le Louis XVI,,https://www.google.com/maps/place/Le+Louis+XVI/data=!4m2!3m1!1s0x47e66e34cc0d3ce5:0x12571e6f2742fe23,,
Go Oun,Resto Charlotte,https://www.google.com/maps/place/Go+Oun/data=!4m2!3m1!1s0x47e66f485010c0fd:0x16a65941eae10a2c,,
Le Consulat Voltaire,Bar Et concert stylé... Endroit de tournage mocap,https://www.google.com/maps/place/Le+Consulat+Voltaire/data=!4m2!3m1!1s0x47e66deef65328ff:0xf9e1633c8f72eb1e,,
Brasserie Rosie,Rdv Dina,https://www.google.com/maps/place/Brasserie+Rosie/data=!4m2!3m1!1s0x47e67367208818a7:0xac9e5face0a0c3,,
Au top,A test,https://www.google.com/maps/place/Au+top/data=!4m2!3m1!1s0x47e66f4e9fbaf16f:0xa33b53a8c9ca5899,,
JanTchi,Bobun Saint Anne,https://www.google.com/maps/place/JanTchi/data=!4m2!3m1!1s0x47e66e2531dffeab:0xe6a119ea4fecc92f,,
Au P'tit Garage,Dans un garage,https://www.google.com/maps/place/Au+P'tit+Garage/data=!4m2!3m1!1s0x47e66de4ebc1e7a3:0xfa907b6043c9ab2a,,
Poni,Restaurant a tester ,https://www.google.com/maps/place/Poni/data=!4m2!3m1!1s0x47e66e478f4fffff:0xf09a87b79d2d5e26,,
Le Hibou - Paris,,https://www.google.com/maps/place/Le+Hibou+-+Paris/data=!4m2!3m1!1s0x47e671deacbed571:0xa1a958ad19715704,,
